Das sind die Freuden {{c1::maßloser}} Selbstüberschätzung.		
Obwohl das der am besten bezahlte Job auf dem Campus ist.		
Zwei Monate später langweilt mich das Speedreading bis zur Bewusstlosigkeit, und ich mache meinen Laden dicht.		
Dienstleistungen sind nicht mein Ding - was ich brauche, ist ein Produkt, das ich verschicken kann.		
Ich teile dem Prüfungsamt mit, dass ich die Universität bis auf weiteres verlasse.	bis auf weiteres = until further notice	
Sie werden eine Menge ausprobieren müssen, um herauszufinden, was die größten Auswirkungen hat, bevor Sie in einem neuen Umfeld (sei es in einem neuen Job oder in einem unternehmerischen Projekt) die Spreu vom Weizen trennen und Aufgaben abschaffen können.	die Spreu vom Weizen trennen= to seperate the wheat from the chaff	
Werfen Sie alles an die Wand und schauen Sie, was kleben bleibt.		
Es ist nur allzu leicht, sich in endlosen Details zu verzetteln.		
Lassen Sie sich nicht hetzen und denken Sie daran, dass Mangel an Zeit eigentlich ein Mangel an Prioritäten ist.		
Nehmen Sie sich die Zeit, einmal durchzuatmen und den Überblick zu gewinnen.		
Wenn Sie Angestellter sind, dann ist es bis zu einem gewissen Grad nicht Ihr Fehler, wenn Sie Ihre Zeit mit Unsinn vertun.	vertun = waste	
Oft gibt es keinen Anreiz, die Zeit sinnvoll zu nutzen, wenn man nicht gerade auf Provisionsbasis bezahlt wird.		
Die Welt ist übereingekommen, dass man von neun Uhr morgens bis fünf Uhr nachmittags Papiere hin- und herzuschieben hat.	übereingekomen = in agreement	
Da Sie während dieser Zeit der Lohnsklaverei im Büro eingesperrt sind, sind Sie gezwungen, Aktivitäten zu erfinden, die diese Zeit ausfüllen.		
Zeit wird verschwendet, weil so viel davon verfügbar ist.		
Aber jetzt, da Sie das neue Ziel vor Augen haben, Ihrem Arbeitgeber eine Telearbeitsvereinbarung abzutrotzen, anstatt nur auf die nächste Gehaltsüberweisung zu warten, müssen wir uns daran machen, den Status quo in Frage zu stellen und effektiv zu werden.		
Die besten Angestellten haben nämlich auch die beste Verhandlungsposition.		
Unternehmer gehen sehr verschwenderisch mit Zeit um, weil sie es nicht anders gewohnt sind und weil sie sich daran orientieren, wie alle anderen sich verhalten.		
Wie kann es möglich sein, dass alle Menschen auf dieser Welt genau acht Stunden täglich benötigen, um ihre Arbeit zu erledigen?		
Es ist nichts weiter als eine willkürliche Festlegung.		
Sie brauchen nicht acht Stunden pro Tag, um ein echter Millionär zu werden - und schon gar nicht, um genug Geld zu verdienen, damit Sie wie einer leben können.		
Lassen Sie uns zunächst einmal über ein paar Dinge nachdenken, bei denen wir uns wahrscheinlich schnell einig sind.		
Da wir acht Stunden Arbeitszeit zu füllen haben, füllen wir acht Stunden aus.		
Wenn ein plötzlicher Notfall auftritt und wir das Büro in zwei Stunden verlassen müssen, aber gleichzeitig einen wichtigen Abgabetermin haben, dann schaffen wir es wunderbarerweise, die Aufgabe in zwei Stunden fertigzustellen.		
Die Abschlussarbeit, die nicht weniger als 25 Prozent der Semesternote ausmachte, war in 24 Stunden fällig.		
Ich ging nach dem Seminar zu Ed und überbrachte ihm die schlimme Nachricht.		
Ich hatte die ganze Nacht durchgearbeitet und genügend Koffein in mich hineingeschüttet, um eine ganze Olympiamannschaft zu disqualifizieren.		
Verkürzen Sie Ihre Arbeitszeit, um die Aufgabe auf das Wesentliche zu beschränken (das Parkinson'sche Gesetz).		
Die beste Lösung besteht darin, beide Ansätze zu nutzen.		
Identifizieren Sie die wenigen wichtigen Aufgaben, die den Großteil Ihres Einkommens ausmachen, und setzen Sie sich dafür in naher Zukunft eindeutige Deadlines.	ausmachen= make up	
Wenn Sie sich nicht auf die entscheidenden Aufgaben konzentrieren und sich keinen eng bemessenen Zeitrahmen stecken, dann wird das Unwichtige zum Wichtigen.		
Eine Nebensächlichkeit nach der anderen wird Sie ablenken, und am Ende des Tages werden Sie nichts zu Ende gebracht haben.		
Ich habe Monate damit zugebracht, von einer Unterbrechung zur nächsten zu springen, und hatte das Gefühl, dass mein Unternehmen mich managte anstatt umgekehrt.		
Wie üblich sah ich mich mit der Frage "Was machst du so?" konfrontiert, und meine Antwort ließ den Fragenden im Zweifel, ob ich ein krankhafter Lügner oder ein Krimineller war.		
Wie war es möglich, mit so geringem Zeitaufwand so viel Geld zu verdienen?		
Er war glücklich verheiratet, hatte einen zwei Jahre alten Sohn, und sein zweiter Sohn würde in drei Monaten geboren werden.		
"Wenn es dich interessiert, machen wir ein Experiment und ich zeige dir, wie es geht", bot ich an.		
Erfinde ich Aufgaben, um wichtigen Dingen aus dem Weg zu gehen?		
Ab einem bestimmten Alter lenkt Lesen den Geist zu sehr von seinen kreativen Beschäftigungen ab. Wer zu viel liest und sein Gehirn zu wenig nutzt, entwickelt faule Denkgewohnheiten.		
Beißen Sie nicht mehr von Ihrem Sandwich ab, damit Sie nicht daran ersticken.		
Halten Sie anwesenden Kindern die Ohren zu.		
Ich schaue mir nie die Nachrichten an und ich habe in den letzten fünf Jahren nur ein einziges Mal eine Zeitung gekauft, auf dem Londoner Flughafen Stansted, und das auch nur, weil ich damit Rabatt auf eine Diät-Pepsi bekam.		
Sie werden jetzt vielleicht denken: Das ist ja geradezu obszön!		
Ich will ein informierter und verantwortungsbewusster Bürger sein! Wie bleibe ich denn auf dem Laufenden und wie erfahre ich, was in der Welt vor sich geht?		
Ich werde diese Frage beantworten, aber gedulden Sie sich einen Moment - es kommt noch besser:		
Ich bearbeite meine geschäftlichen E-Mails ausschließlich montags, ungefähr eine Stunde lang, und ich höre niemals meine Voicemail ab, wenn ich im Ausland bin.		
Aber was ist, wenn irgendwo ein Notfall eintritt?	Notfälle treten ein	
Wenn Sie nicht mehr verlangen, über alles informiert zu werden, und stattdessen anderen die Verantwortung übertragen, dann werden auftretende Probleme auch ohne Sie gelöst.	ein Problem tritt auf	
Kultivieren Sie eine selektive Ignoranz.		
Es gibt viele Dinge, die ein kluger Mann nicht wissen will. Ralph Waldo Emerson, amerikanischer Philosoph und Schriftsteller.		
Ich möchte Ihnen vorschlagen, sich ab sofort die unheimliche Fähigkeit zur selektiven Ignoranz zuzulegen.		
Der erste Schritt besteht nun darin, sich auf eine Informationsdiät zu setzen.		
Die Lebensweise der Neuen Reichen hingegen bringt zwar massiven Output hervor, erfordert aber nur geringen Input.		
Die meisten Informationen sind negativ, schlucken viel Zeit, haben nichts mit Ihren Zielen zu tun und unterliegen nicht Ihrem Einfluss.		
Ich wette mit Ihnen, dass alles, was Sie heute gelesen oder sich angeschaut haben, mindestens zwei dieser vier Punkte erfüllt.		
Ich lese jeden Tag, während ich zum Mittagessen gehe, die Schlagzeilen in den Zeitungsautomaten - und sonst nichts.		
Diese selektive Ignoranz hat mir in den letzten fünf Jahren nicht ein einziges Mal Probleme bereitet.		
Außerdem lese ich jeden Tag zur Entspannung eine Stunde vor dem Einschlafen, vor allem Romane.		
Und wie in aller Welt kann ich dann ein verantwortungsvoller Bürger sein?		
Ich habe bei der letzten amerikanischen Präsidentschaftswahl meine Stimme abgegeben, obwohl ich zu der Zeit in Berlin war.		
Ich ließ verlässliche Menschen Hunderte von TV-Stunden und Tausende von Druckseiten für mich auswerten.		
Zuschauer und Möchtegerne sind die Zeit nicht wert.		
Auf Grundlage der Lektüre dieses Buches dachte ich mir intelligente und spezifische Fragen aus.		
Auf die Gespräche bereitete ich mich vor, indem ich in den betreffenden Büchern immer nur die wichtigsten Abschnitte las, was weniger als zwei Stunden dauerte.		
Oft vergisst man, wie wirkungsvoll ein persönliches Gespräch sein kann.		
Und auch hier gilt: Weniger ist mehr. Behalten Sie das im Hinterkopf.		
Wie man mit einem zehnminütigen Training seine Lesegeschwindigkeit um 200 Prozent erhöht.		
Keine Frage, es wird Momente geben, in denen Sie etwas lesen müssen, weil Sie sich bestimmte Informationen aneignen wollen.	sich aneignen= aquire	
Lesen ist eine Abfolge von sprunghaften Schnappschüssen des Auges (diese Augenbewegungen bezeichnet man auch als Sakkaden). Wenn Sie einen visuellen Anhaltspunkt haben, verhindert das Rücksprünge.		
So nutzen Sie Ihre Fähigkeit des peripheren Sehens.		
Lernen, Dinge zu ignorieren, ist einer der besten Wege zu innerem Frieden.		
Beginnen Sie sofort mit einer einwöchigen Medien-Fastenkur.		
Schnapp ihn dir!		
Kein Fernsehen, außer - wenn Sie möchten - jeden Abend eine Stunde zur Unterhaltung.		
Erstens ist es nicht produktiv, zwei Sachbücher oder Ratgeber gleichzeitig zu lesen. Und zweitens eignet sich ein guter Roman besser, um von den Ereignissen des Tages abzuschalten.		
Noch Zeit übrig haben, machen Sie die Übungen aus diesem Buch. Es mag sich vielleicht eingebildet anhören, das eigene Buch zu empfehlen, aber das hat seinen Grund.		
Irgendetwas Wichtiges los auf der Welt? Ich bin heute nicht dazu gekommen, mir eine Zeitung zu kaufen.		
Seien Sie streng mit sich selbst. Ich kann die Medizin nur verschreiben, einnehmen müssen Sie sie selbst.		
Informationen sind nutzlos, wenn sie nicht tatsächlich benötigt werden oder wenn sie wieder vergessen sind, bevor Sie die Chance hatten, sie anzuwenden.		
Ich hatte früher die Angewohnheit, wenn ich etwas recherchieren oder vorbereiten musste, mir die nötigen Bücher und Webseiten Monate im Voraus anzusehen beziehungsweise durchzulesen.		
Üben Sie sich in der Kunst der Nichtvollendung.		
Etwas anzufangen heißt nicht automatisch, dass man es auch zu Ende bringen muss.		
Wenn Sie ins Kino gehen und der Film schlechter ist als "Matrix Revolutions", dann machen Sie, dass Sie da rauskommen, bevor noch mehr Neuronen absterben.		
Mehr ist nicht besser, und manchmal ist es zehnmal sinnvoller, etwas aufzugeben, als es zu Ende zu führen.		
Achten Sie darauf, Augenkontakt zu halten, und fragen Sie jeden Tag mindestens zwei attraktive Vertreter des anderen Geschlechts nach ihrer Telefonnummer (je mehr Sie ansprechen, desto weniger stressig wird es sein). Meine Damen, das gilt auch für Sie.		
Denken Sie daran, dass das Ziel nicht die Telefonnummern an sich sind.		
Wenn Sie schnell ein bisschen Übung bekommen wollen, gehen Sie in ein Einkaufszentrum und versuchen Sie, in fünf Minuten drei Leute hintereinander anzusprechen.		
Der Assistent des Professors hatte das Gesicht in den Händen vergraben.		
Lernen Sie, schwierig zu sein, wenn es darauf ankommt. An der Uni ist es ebenso wie im Leben: Wer den Ruf hat, durchsetzungsstark zu sein, wird bevorzugt behandelt und muss nicht jedes Mal darum betteln oder kämpfen.		
Jede Unterbrechung hindert uns daran, eine entscheidende Aufgabe von Anfang bis Ende abzuarbeiten.		
Die Verursacher kommen in erster Linie aus den folgenden drei Kategorien:		
Dinge, die man folgenlos ignorieren kann. Zu den am weitesten verbreiteten Zeitverschwendern gehören Meetings, Diskussionen, Telefonanrufe und E-Mails, die unwichtig sind.		
Aufgaben oder Anfragen, die erledigt werden müssen und denen wir uns aus Routine regelmäßig widmen, die aber oft die Arbeit an wichtigen Aufgaben unterbrechen.		
Versäumtes Empowerment: Fälle, in denen sich jemand erst eine Genehmigung holen muss, bevor er eine Kleinigkeit veranlassen kann.		
Zeitverschwender lassen sich am leichtesten eliminieren und abwenden. Der Trick besteht darin, sie entweder abzublocken oder, wenn das nicht möglich sein sollte, umgehend zu handeln, anstatt sich lange und umständlich mit ihnen auseinanderzusetzen.		
Erstens: Schalten Sie den Signalton für ankommende Mails aus.		
Schauen Sie niemals morgens als Erstes in Ihr Postfach. Schon allein diese Angewohnheit kann Ihr Leben verändern.		
Ein scheinbar kleiner Schritt, der enorme Konsequenzen hat.		
Erledigen Sie stattdessen bis spätestens elf Uhr die wichtigste Aufgabe des Tages.		
Schieben Sie diese nicht unnötig auf, so kommen Sie erst gar nicht in die Versuchung, das Mittagessen oder das Lesen der Mails als Ausrede vorzuschieben.		
Notfälle sind selten echte Notfälle.		
Die meisten Menschen sind einfach nicht in der Lage, den Ernst einer Situation einzuschätzen.		
Nebensächlichkeiten werden unnötig aufgeblasen, um Zeit zu füllen und sich wichtig zu fühlen.		
Das führt dazu, dass auch Ihre Kollegen und Mitarbeiter beginnen, ihre Anliegen knapp und präzise zu formulieren.		
In Notfällen können Sie beide mich auf meinem Handy erreichen, aber ich vertraue Ihrem Urteil.		
Meetings sollten überhaupt nur stattfinden, um Entscheidungen zu treffen.		
Gewöhnen Sie sich Meetings ab, in denen ein Problem erst definiert werden muss.		
Das muss alles vorab geklärt sein, sonst verbringen Sie unnötig viel Zeit mit irrelevanten Themen.		
Wenn Ihnen jemand ein Treffen vorschlägt oder einen Telefongesprächstermin vereinbaren will, dann bitten Sie darum, dass er Ihnen eine E-Mail mit einer Agenda schickt, welche Punkte er besprechen möchte.		
Die Äußerung "Vielen Dank im Voraus" sorgt in den meisten Fällen dafür, dass Sie umgehend eine Antwort erhalten.		
Das Medium E-Mail zwingt die Leute, das gewünschte Ergebnis eines Meetings oder einer Telefonkonferenz schriftlich festzuhalten.		
In neun von zehn Fällen ist das Meeting unnötig und Sie können die Fragen, wenn sie erst einmal formuliert sind, per Mail beantworten.		
Legen Sie vorab die Dauer von Meetings fest.		
Wenn die Fragen klar umrissen sind, dann sollte es nicht länger als 30 Minuten dauern, eine Entscheidung zu fällen.	umrissen = outlined	
Machen Sie sich vom Acker und lassen Sie sich später von jemand anderem über die Ergebnisse informieren.		
Dulden Sie keine Besucher, die nur ein Schwätzchen halten wollen.		
"Ich will Ihnen gerne helfen, aber ich muss das hier erst zu Ende bringen.		
Wenn Sie den Eindringling immer noch nicht loswerden können, geben Sie ihm ein Zeitlimit für Ihre Verfügbarkeit.		
Wenn ein Kunde Gefallen an einem Welpen findet, aber noch zögert, den Kauf in die Tat umzusetzen, dann bietet man ihm einfach an, den Kleinen zur Probe mit nach Hause zu nehmen - er könne ihn ja wieder zurückbringen, wenn er seine Meinung ändern sollte.		
Wenn es geht, würde ich heute lieber einmal aussetzen - ich wäre im Meeting sowieso mit den Gedanken woanders.		
Ich verspreche, dass ich mich hinterher informieren werde, indem ich mich mit dem Kollegen X zusammensetze.		
Die zweite Variante sieht in beiden Fällen weniger endgültig aus, und das ist natürlich genau so beabsichtigt.		
Eltern fallen darauf herein, weil die Kinder ihnen helfen, sich selbst etwas vorzumachen. Das funktioniert mit Chefs, Lieferanten, Kunden und auch mit dem Rest der Welt.	hereinfallen auf = fall for sonething	
Setzen Sie diese Technik ein, aber hüten Sie sich, selbst darauf hereinzufallen.		
Machen Sie nicht den Fehler, härter zu arbeiten, wenn die Lösung darin besteht, schlauer zu arbeiten.		
Ich selbst habe sowohl berufliche als auch private Aufgaben in immer größeren Abständen abgearbeitet, weil ich gemerkt habe, wie selten dabei echte Probleme auftreten.		
Fehlendes Empowerment bedeutet, dass jemand nicht in der Lage ist, eine Aufgabe auszuführen, ohne vorher die Erlaubnis oder notwendige Informationen einzuholen.		
Der Grund für die schlechte Skalierbarkeit des Kundenservices in meinem Unternehmen war, dass es einen Engpass gab, durch den alle Informationen und Entscheidungen fließen mussten: mich.		
Die überwiegende Mehrheit der eingehenden Mails enthielt keine produktbezogenen Fragen, sondern Anfragen externer Kundenbetreuer, die für verschiedene Dinge eine Erlaubnis oder Anweisungen von mir brauchten.		
Können wir es mit Overnight-Express versenden und, wenn ja, was sollen wir dafür berechnen?		
Ich möchte eine neue Vorgehensweise in unserer Zusammenarbeit etablieren, die alle bisherigen ablösen wird.	etablieren = establish	
Stellen Sie den Kunden zufrieden. Wenn es sich um ein Problem handelt, dessen Lösung weniger als 100 Dollar kostet, urteilen Sie selbst und lösen Sie es.		
Ich erteile Ihnen hiermit die offizielle schriftliche Ermächtigung und bitte Sie, mich in diesen Fällen nicht mehr zu kontaktieren.		
Tun Sie, was Sie für richtig halten, und wir werden das Feintuning dort vornehmen, wo es nötig wird.		
Bei näherer Betrachtung stellte sich dann heraus, dass mehr als 90 Prozent der Fragen, die vorher das Senden einer E-Mail veranlasst hatten, für weniger als 20 Dollar gelöst werden konnten.	bei näherer betrachtung = upon closer inspection 	
Es ist erstaunlich, dass sich der IQ eines Menschen zu verdoppeln scheint, sobald man ihm Verantwortung überträgt und ihm das Gefühl gibt, dass man ihm vertraut.		
Legen Sie sich vor dem Gespräch eine Anzahl von neuen "Regeln" zurecht, die es Ihnen erlauben werden, autonomer zu arbeiten.		
Denken Sie, dass wir einen einwöchigen Probelauf machen können?		
Die Tatsache, dass Sie manche Dinge besser erledigen können als jeder andere auf der Welt, rechtfertigt nicht automatisch, dass Sie es auch wirklich tun sollten - schon gar nicht, wenn es sich um Kleinkram handelt.		
